AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Moderate,1,34,1,63
Good,1,32,0,20
Good,1,31,5,28
Unhealthy,3,160,1,162
Moderate,1,43,1,60
Good,1,23,0,27
Moderate,1,40,3,80
Good,1,34,0,34
Good,1,38,0,19
Good,1,18,0,40
Moderate,2,44,1,65
Good,0,19,0,17
Good,1,45,1,41
Good,1,30,1,42
Moderate,1,23,1,60
Good,1,33,3,22
Moderate,1,31,0,52
Good,1,37,0,4
Good,1,33,0,33
Good,1,34,0,35
Unhealthy,1,42,0,151
Moderate,2,15,0,62
Moderate,2,42,1,61
Good,1,36,0,19
Moderate,2,46,1,77
Moderate,1,25,0,53
Unhealthy,3,171,1,163
Moderate,1,46,0,81
Good,0,19,0,16
Good,0,19,0,34
Good,1,25,4,34
Good,1,39,1,42
Moderate,1,38,0,80
Good,0,27,1,22
Unhealthy,1,49,0,159
Good,1,25,2,44
Good,0,45,0,21
Moderate,1,49,0,67
Moderate,1,46,0,72
Moderate,2,29,4,88
Moderate,1,18,4,54
Moderate,2,6,4,91
Unhealthy,7,18,15,161
Moderate,1,20,2,65
Good,1,16,3,29
Good,1,33,0,23
Unhealthy for Sensitive Groups,1,61,0,107
Moderate,1,31,1,52
Moderate,1,44,0,81
Moderate,2,31,2,82
Good,1,4,0,28
Good,1,21,0,38
Moderate,1,33,0,57
Moderate,1,47,0,53
Good,1,43,0,29
Good,1,31,4,39
Good,1,23,2,39
Unhealthy for Sensitive Groups,1,37,0,114
Unhealthy for Sensitive Groups,8,44,0,138
Moderate,1,38,1,51
Moderate,1,54,0,63
Good,1,39,2,50
Unhealthy for Sensitive Groups,1,41,0,101
Unhealthy,1,37,0,182
Moderate,2,22,14,70
Good,1,20,2,28
Good,1,16,0,31
Moderate,1,26,1,52
Good,1,42,0,16
Good,1,5,0,10
Moderate,2,37,0,70
Unhealthy,5,30,11,160
Moderate,2,31,5,65
Good,1,39,1,44
Good,1,22,0,29
Moderate,1,46,0,89
Unhealthy,2,44,2,154
Good,0,33,0,27
Good,1,43,0,14
Very Unhealthy,2,31,3,205
Good,0,19,0,21
Good,1,42,2,40
Unhealthy for Sensitive Groups,3,32,6,136
Unhealthy,7,13,19,178
Unhealthy,5,63,8,181
Moderate,1,30,2,76
Unhealthy,5,29,10,176
Moderate,1,23,0,56
Moderate,2,27,6,97
Moderate,1,30,2,53
Good,0,24,0,29
Good,0,39,1,19
Moderate,1,54,1,52
Unhealthy for Sensitive Groups,1,29,2,114
Good,1,37,0,14
Good,1,40,0,12
Good,1,47,3,41
Moderate,1,44,0,59
Moderate,1,54,0,66
Good,1,38,0,20
Good,1,34,0,15
Moderate,1,30,1,72
Good,1,30,1,12
Unhealthy for Sensitive Groups,1,27,1,109
Good,1,36,0,17
Unhealthy,1,39,0,176
Unhealthy for Sensitive Groups,3,19,24,111
Moderate,2,54,1,74
Good,1,37,1,30
Good,1,39,2,47
Good,1,40,1,50
Moderate,1,69,0,58
Good,0,25,2,15
Unhealthy for Sensitive Groups,4,125,7,137
Moderate,1,36,4,67
Moderate,1,17,3,57
Moderate,1,40,2,72
Moderate,1,30,4,72
Moderate,2,29,13,77
Moderate,2,76,1,86
Good,0,28,0,19
Good,1,34,1,27
Good,1,2,0,14
Good,1,33,0,48
Moderate,1,35,3,51
Moderate,2,25,9,68
Good,1,35,3,18
Unhealthy,3,147,0,174
Moderate,2,4,4,62
Good,1,9,4,36
Moderate,3,15,21,81
Moderate,2,18,6,61
Moderate,2,20,15,68
Moderate,1,38,4,67
Moderate,2,2,12,67
Moderate,1,11,15,59
Moderate,1,24,6,58
Good,1,42,1,49
Good,1,35,0,15
Good,1,18,0,36
Unhealthy for Sensitive Groups,4,6,12,139
Good,1,33,1,25
Good,1,39,1,9
Good,1,46,0,16
Moderate,2,41,2,76
Moderate,1,37,0,54
Unhealthy for Sensitive Groups,1,41,0,128
Moderate,1,35,0,58
Moderate,1,26,5,63
Moderate,1,29,1,74
Good,1,34,0,15
Good,1,28,0,45
Moderate,3,6,8,79
Moderate,2,22,4,75
Moderate,2,6,6,61
Moderate,2,20,0,53
Good,0,30,0,41
Good,1,38,1,31
Good,0,16,0,30
Moderate,1,32,0,52
Good,1,13,1,35
Moderate,3,13,1,62
Moderate,1,36,3,59
Good,0,24,0,22
Unhealthy,1,51,1,155
Good,0,19,0,16
Unhealthy for Sensitive Groups,1,21,4,148
Moderate,1,42,1,61
Moderate,1,26,1,56
Good,0,45,0,22
Moderate,2,12,3,75
Good,1,41,1,42
Good,1,3,0,23
Moderate,1,29,0,88
Good,1,33,2,32
Moderate,2,3,5,65
Moderate,1,19,2,97
Good,1,38,3,30
Good,1,21,13,45
Unhealthy for Sensitive Groups,1,26,0,101
Good,1,40,2,23
Moderate,3,82,2,87
Good,1,39,4,50
Moderate,1,36,3,69
Moderate,1,40,2,64
Good,1,27,6,47
Unhealthy,4,161,3,168
Unhealthy for Sensitive Groups,4,7,35,125
Good,1,27,6,42
Moderate,1,35,3,62
Unhealthy for Sensitive Groups,2,24,3,129
Good,0,26,0,15
Moderate,1,13,1,52
Moderate,1,14,1,59
Moderate,1,14,1,53
Good,1,28,2,45
Moderate,1,18,4,85
Good,1,10,1,28
Good,1,24,2,25
Unhealthy,2,35,3,151
Unhealthy for Sensitive Groups,4,41,7,115
Moderate,1,35,1,56
Unhealthy for Sensitive Groups,5,29,12,122
Unhealthy,6,41,26,164
Good,1,39,0,23
Unhealthy,4,84,5,173
Good,1,20,0,39
Good,1,36,0,23
Unhealthy for Sensitive Groups,1,33,4,102
Good,1,44,0,25
Unhealthy for Sensitive Groups,1,25,0,147
Good,1,28,9,47
Moderate,1,39,0,53
Moderate,1,31,5,67
Unhealthy,3,150,1,174
Moderate,2,18,10,59
Moderate,1,29,0,54
Unhealthy,1,38,0,185
Unhealthy,0,29,0,172
Good,1,35,0,24
Moderate,2,42,0,53
Moderate,1,21,5,51
Moderate,2,12,27,68
Unhealthy for Sensitive Groups,2,54,5,111
Good,1,19,8,46
Moderate,1,30,1,55
Good,0,30,0,21
Good,0,18,1,16
Good,1,8,2,40
Good,1,38,0,41
Good,0,15,0,12
Good,0,31,0,48
Moderate,1,30,1,51
Good,0,41,0,25
Good,0,10,1,22
Good,1,1,3,30
Good,1,28,2,49
Good,1,8,2,40
Good,1,41,1,40
Good,0,29,1,22
Good,1,29,1,11
Moderate,1,19,0,67
Unhealthy,3,152,3,131
Unhealthy for Sensitive Groups,1,30,0,133
Good,0,29,1,29
Moderate,1,43,6,58
Moderate,1,44,5,72
Moderate,0,32,0,53
Good,1,27,1,39
Moderate,2,40,10,71
Moderate,0,33,0,66
Unhealthy,3,168,2,104
Moderate,1,37,0,59
Good,1,39,0,22
Good,1,42,1,35
Good,1,36,1,35
Moderate,2,56,2,80
Good,1,30,1,28
Unhealthy for Sensitive Groups,4,5,10,102
Moderate,1,44,0,58
Unhealthy for Sensitive Groups,3,10,9,101
Good,1,39,2,33
Good,1,26,1,28
Good,1,33,0,50
Moderate,1,32,4,52
Moderate,1,28,1,55
Good,1,24,2,33
Good,1,35,0,20
Unhealthy for Sensitive Groups,3,110,1,96
Unhealthy,0,32,0,155
Good,1,33,1,32
Unhealthy,1,38,0,166
Moderate,1,20,0,82
Good,0,21,1,23
Good,1,35,1,15
Good,0,17,0,28
Good,1,28,1,30
Moderate,1,65,0,41
Good,1,31,3,20
Good,1,13,1,45
Good,0,25,0,39
Moderate,2,42,1,76
Unhealthy for Sensitive Groups,4,84,5,105
Good,1,28,0,17
Good,1,33,0,9
Good,1,29,1,39
Good,1,42,0,7
Unhealthy for Sensitive Groups,2,123,4,94
Good,0,32,1,26
Good,1,32,2,32
Moderate,1,42,0,54
Good,1,36,0,23
Good,1,33,0,17
Good,1,35,2,30
Moderate,3,5,34,81
Good,1,28,0,3
Moderate,1,40,5,55
Unhealthy for Sensitive Groups,1,53,0,115
Good,0,33,1,12
Good,1,35,1,30
Good,1,39,0,16
Good,1,42,0,14
Moderate,1,58,2,79
Unhealthy for Sensitive Groups,4,86,6,123
Good,1,17,1,45
Good,1,27,0,34
Moderate,1,46,1,55
Moderate,1,46,0,57
Good,1,48,1,25
Moderate,1,25,2,56
Unhealthy,0,28,0,194
Moderate,1,72,2,87
Good,0,14,0,15
Good,1,27,3,20
Moderate,1,10,5,61
Very Unhealthy,9,12,28,232
Unhealthy for Sensitive Groups,3,78,2,119
Unhealthy,3,163,1,156
Moderate,2,28,12,57
Good,1,39,1,35
Good,1,42,2,31
Moderate,2,49,1,83
Good,1,34,0,23
Moderate,1,40,1,59
Unhealthy,3,125,0,155
Moderate,2,15,1,69
Unhealthy,0,28,0,170
Moderate,1,45,0,58
Moderate,1,30,6,58
Unhealthy,3,92,1,154
Moderate,1,36,1,54
Moderate,1,38,2,56
Good,1,33,1,42
Moderate,1,31,4,61
Moderate,1,8,4,62
Moderate,1,19,10,63
Moderate,3,6,13,67
Moderate,1,38,5,68
Good,0,15,1,21
Good,1,33,5,39
Moderate,2,11,24,90
Moderate,1,25,7,60
Moderate,1,39,0,51
Good,1,31,8,39
Moderate,1,37,2,59
Good,1,34,0,19
Good,0,20,0,16
Moderate,2,23,11,68
Moderate,1,49,0,77
Unhealthy,1,121,0,168
Moderate,1,36,4,75
Good,1,30,0,22
Good,1,27,2,43
Unhealthy,3,148,0,158
Moderate,1,35,2,82
Very Unhealthy,5,205,4,163
Good,1,31,5,31
Moderate,1,35,0,55
Good,1,33,7,36
Moderate,1,47,3,54
Moderate,1,63,1,90
Moderate,0,23,0,76
Moderate,1,38,0,71
Unhealthy,1,35,0,175
Moderate,1,20,5,69
Moderate,1,39,3,55
Good,0,33,1,13
Good,1,11,1,32
Unhealthy for Sensitive Groups,2,22,2,125
Moderate,1,11,2,59
Good,0,33,1,16
Unhealthy for Sensitive Groups,2,26,3,128
Unhealthy,1,37,0,185
Good,1,23,0,31
Good,1,40,0,28
Unhealthy,1,74,1,170
Unhealthy for Sensitive Groups,1,31,0,137
Unhealthy,2,170,4,150
Unhealthy,5,2,12,182
Unhealthy for Sensitive Groups,3,17,4,103
Moderate,1,16,0,51
Moderate,1,29,6,56
Moderate,1,35,0,56
Moderate,0,38,1,57
Moderate,1,23,11,51
Moderate,3,6,6,87
Moderate,4,7,3,99
Moderate,2,15,6,78
Unhealthy for Sensitive Groups,2,14,4,106
Moderate,2,34,6,77
Good,1,26,2,32
Moderate,1,30,2,57
Unhealthy,10,33,69,154
Unhealthy for Sensitive Groups,1,40,0,139
Moderate,3,18,3,89
Unhealthy,3,85,1,155
Moderate,1,44,1,59
Unhealthy,2,97,0,169
Good,1,25,1,50
Moderate,1,38,3,53
Good,1,27,4,44
Moderate,1,41,2,75
Moderate,3,16,1,58
Unhealthy for Sensitive Groups,1,29,0,129
Good,0,13,2,12
Unhealthy for Sensitive Groups,1,42,0,136
Moderate,1,42,8,83
Moderate,1,27,3,59
Moderate,1,25,10,97
Good,1,39,1,37
Unhealthy,2,46,1,179
Unhealthy,3,164,1,154
Good,1,32,3,33
Unhealthy,5,4,25,163
Moderate,2,37,7,60
Moderate,1,11,3,58
Good,1,22,3,38
Moderate,1,37,4,67
Unhealthy,1,20,0,164
Unhealthy for Sensitive Groups,1,72,0,125
Good,0,20,0,12
Unhealthy for Sensitive Groups,4,23,3,128
Good,1,35,0,16
Moderate,1,38,2,66
Good,1,35,0,16
Good,2,42,1,46
Good,1,5,2,36
Moderate,1,24,6,54
Good,1,44,1,22
Moderate,1,26,11,54
Moderate,3,8,3,63
Very Unhealthy,5,201,4,161
Unhealthy,3,112,2,154
Good,1,23,0,21
Moderate,1,31,1,99
Unhealthy,3,7,13,199
Moderate,1,28,0,64
Moderate,1,35,1,61
Moderate,1,33,5,57
Good,0,20,1,24
Good,1,26,1,24
Good,1,34,7,34
Unhealthy,4,171,2,150
Unhealthy for Sensitive Groups,2,61,1,143
Unhealthy for Sensitive Groups,3,82,1,134
Moderate,1,46,0,56
Unhealthy for Sensitive Groups,4,5,12,103
Unhealthy,4,169,1,171
Moderate,1,30,4,57
Moderate,1,6,4,56
Good,1,23,5,20
Unhealthy for Sensitive Groups,3,109,8,123
Moderate,0,23,1,71
Moderate,0,27,0,66
Moderate,1,31,1,51
Good,1,41,0,7
Good,0,16,2,43
Moderate,1,46,0,75
Unhealthy,1,25,1,151
Moderate,1,42,0,52
Good,1,31,5,28
Unhealthy,2,77,0,164
Unhealthy,6,0,14,159
Good,2,8,2,50
Good,1,42,0,14
Good,1,33,3,17
Good,1,38,0,32
Moderate,1,36,0,60
Moderate,1,34,6,64
Moderate,2,18,18,85
Good,1,32,4,17
Unhealthy for Sensitive Groups,0,26,0,132
Unhealthy for Sensitive Groups,1,33,0,132
Unhealthy,3,164,1,172
Unhealthy,1,38,0,175
Good,1,31,4,24
Unhealthy,1,41,0,150
Moderate,1,36,0,56
Moderate,1,37,1,59
Moderate,1,21,1,56
Moderate,1,31,6,51
Moderate,1,25,6,56
Moderate,1,38,3,56
Moderate,3,17,9,83
Moderate,1,42,2,72
Good,1,9,1,32
Moderate,1,39,0,61
Good,1,33,3,20
Moderate,1,39,0,61
Good,0,21,0,19
Moderate,1,43,2,70
Unhealthy for Sensitive Groups,1,18,3,107
Moderate,1,24,2,77
Moderate,1,25,1,57
Good,1,23,1,46
Moderate,1,35,4,66
Good,1,8,2,40
Moderate,1,4,4,65
Moderate,2,48,9,66
Moderate,1,40,4,51
Moderate,1,45,2,71
Moderate,0,21,0,52
Moderate,1,33,3,69
Moderate,2,16,15,60
Moderate,1,42,1,75
Moderate,1,40,2,72
Moderate,1,40,2,78
Unhealthy for Sensitive Groups,3,2,12,106
Moderate,1,45,0,62
Good,1,39,2,11
Moderate,1,37,1,75
Moderate,2,25,5,69
Unhealthy,4,170,2,152
Good,1,9,1,20
Moderate,1,45,0,56
Moderate,1,40,0,58
Moderate,1,14,0,56
Moderate,3,16,10,85
Moderate,2,24,11,74
Moderate,1,25,6,66
Moderate,1,22,6,56
Moderate,2,14,0,74
Moderate,1,41,3,69
Hazardous,1,40,0,328
Moderate,1,48,0,65
Unhealthy,1,46,0,161
Unhealthy,1,44,0,158
Moderate,1,26,1,52
Good,1,35,0,36
Good,1,32,0,10
Good,0,12,1,14
Moderate,1,38,0,96
Good,1,24,2,47
Moderate,1,30,1,51
Good,1,19,0,39
Moderate,2,20,18,70
Moderate,3,18,20,73
Good,0,15,0,26
Moderate,2,24,1,56
Moderate,1,47,0,66
Unhealthy,10,13,13,174
Good,1,35,2,26
Unhealthy for Sensitive Groups,1,38,0,136
Good,1,29,3,48
Good,1,22,0,14
Moderate,1,32,0,57
Moderate,1,25,1,63
Good,1,17,0,30
Moderate,1,40,4,59
Good,1,34,8,26
Moderate,2,17,22,68
Moderate,2,18,21,72
Moderate,1,43,0,71
Good,1,33,0,22
Moderate,1,40,2,71
Good,0,17,2,19
Good,1,33,3,20
Moderate,1,45,2,55
Moderate,1,41,0,53
Moderate,1,20,11,62
Moderate,1,5,2,58
Unhealthy for Sensitive Groups,2,41,8,109
Unhealthy,1,30,0,167
Moderate,1,44,0,74
Moderate,1,36,0,54
Unhealthy for Sensitive Groups,1,35,1,129
Good,0,19,0,27
Moderate,2,17,1,76
Good,1,26,1,22
Moderate,1,37,1,71
Good,1,35,0,37
Moderate,2,46,3,86
Moderate,1,29,3,63
Moderate,1,37,0,61
Good,1,16,0,32
Moderate,1,43,0,89
Moderate,1,53,1,54
Moderate,1,32,1,63
Unhealthy,3,143,1,152
Moderate,1,30,2,58
Good,1,33,0,9
Moderate,2,20,6,72
Good,2,33,8,41
Good,1,20,8,48
Good,0,20,0,25
Moderate,2,49,3,56
Very Unhealthy,1,35,0,207
Good,1,21,0,37
Unhealthy,9,5,25,179
Unhealthy,2,82,2,191
Good,2,33,9,50
Moderate,2,52,1,91
Moderate,1,49,1,61
Moderate,1,21,5,66
Moderate,1,10,13,55
Good,1,29,3,44
Good,1,35,0,29
Moderate,2,18,16,63
Moderate,2,11,0,59
Good,1,32,2,50
Good,1,35,1,34
Moderate,2,10,17,66
Moderate,1,39,4,80
Moderate,0,26,0,86
Good,1,32,0,50
Moderate,1,43,0,57
Moderate,1,38,1,64
Good,1,15,8,41
Moderate,1,30,4,63
Good,1,18,2,31
Unhealthy for Sensitive Groups,1,49,1,101
Moderate,1,30,4,58
Good,1,39,3,17
Moderate,1,48,1,88
Good,1,37,4,17
Moderate,2,5,19,66
Moderate,1,63,3,58
Moderate,2,29,8,75
Good,0,19,0,27
Moderate,1,44,2,57
Moderate,2,28,7,79
Good,0,18,1,10
Good,1,19,1,43
Moderate,1,46,4,59
Moderate,1,50,2,54
Good,1,29,6,39
Moderate,1,47,3,67
Good,0,18,0,11
Unhealthy,1,43,0,172
Moderate,1,26,7,55
Good,0,27,0,32
Unhealthy,3,158,2,113
Moderate,1,13,7,71
Unhealthy for Sensitive Groups,4,9,36,128
Moderate,1,42,3,51
Moderate,1,31,0,75
Moderate,1,23,1,59
Good,1,26,1,45
Unhealthy,6,1,20,170
Good,1,40,0,18
Moderate,2,38,4,62
Moderate,0,23,0,66
Unhealthy for Sensitive Groups,3,16,26,107
Good,1,34,1,21
Moderate,6,36,0,63
Moderate,1,14,11,52
Moderate,1,36,2,96
Moderate,1,41,2,65
Moderate,0,23,1,58
Good,1,39,2,38
Good,1,38,0,19
Moderate,1,14,11,62
Moderate,1,43,2,57
Moderate,1,37,0,56
Good,1,33,0,50
Good,0,15,0,30
Good,1,24,2,50
Moderate,1,23,0,54
Unhealthy,6,1,19,165
Good,1,4,0,27
Good,1,18,1,35
Good,0,19,1,37
Moderate,2,29,12,51
Good,1,30,3,14
Good,0,13,0,16
Unhealthy for Sensitive Groups,3,6,13,103
Good,1,4,2,48
Good,0,29,0,20
Good,1,39,1,20
Good,1,41,3,50
Moderate,1,47,2,58
Good,1,14,1,50
Moderate,1,13,9,56
Moderate,3,6,11,94
Moderate,1,40,4,53
Unhealthy for Sensitive Groups,4,25,9,149
Unhealthy,4,45,6,168
Moderate,1,18,1,51
Good,1,16,0,30
Hazardous,5,26,10,320
Unhealthy for Sensitive Groups,1,20,2,117
Moderate,1,32,0,68
Good,0,25,0,20
Moderate,2,38,2,86
Unhealthy for Sensitive Groups,3,26,6,121
Moderate,1,93,1,27
Unhealthy,1,32,2,151
Good,1,36,7,38
Moderate,1,28,17,79
Moderate,2,10,11,67
Good,1,42,0,30
Unhealthy,5,34,36,155
Moderate,1,52,0,60
Good,0,27,0,26
Moderate,1,15,3,61
Unhealthy,2,38,5,199
Moderate,1,19,11,53
Moderate,3,40,2,93
Moderate,1,28,0,51
Moderate,2,23,4,75
Good,1,39,1,46
Good,1,44,0,24
Good,1,28,0,37
Good,1,33,0,13
Unhealthy,2,27,6,151
Good,0,17,0,41
Moderate,1,58,0,57
Good,1,38,0,34
Good,1,37,1,50
Good,1,29,0,46
Good,0,16,0,23
Good,1,40,1,28
Good,1,45,1,49
Moderate,2,16,5,96
Moderate,1,27,0,80
Good,0,24,0,19
Good,0,23,0,18
Good,0,24,0,50
Moderate,1,47,2,56
Good,1,37,1,35
Unhealthy,6,101,15,151
Moderate,2,86,1,39
Good,1,17,0,47
Moderate,1,27,0,68
Moderate,1,62,0,54
Moderate,1,46,1,70
Good,1,15,0,40
Moderate,2,27,13,63
Good,1,43,1,48
Moderate,2,18,18,83
Good,1,46,1,46
Good,1,37,2,47
Unhealthy for Sensitive Groups,3,13,20,125
Moderate,1,25,0,54
Moderate,1,43,2,72
Moderate,1,46,5,58
Unhealthy for Sensitive Groups,3,17,23,100
Good,0,19,0,29
Good,1,6,0,15
Unhealthy,5,2,22,161
Moderate,1,41,1,55
Good,1,38,0,40
Good,1,43,1,32
Unhealthy,4,93,5,176
Moderate,1,17,3,61
Good,1,35,0,23
Unhealthy,2,33,6,159
Good,1,36,0,22
Moderate,1,48,2,51
Moderate,1,27,0,60
Unhealthy for Sensitive Groups,3,33,2,101
Unhealthy,4,50,7,171
Unhealthy,1,29,1,150
Good,0,38,0,30
Moderate,1,38,1,53
Moderate,1,61,0,60
Good,1,30,3,45
Good,0,21,0,18
Moderate,1,39,0,83
Good,1,23,0,50
Good,1,45,0,15
Good,1,41,1,43
Moderate,1,38,2,51
Good,1,38,0,29
Moderate,1,32,1,52
Moderate,1,58,0,19
Moderate,1,46,2,51
Moderate,1,32,9,73
Good,1,36,1,37
Good,1,39,0,30
Moderate,1,60,0,62
Good,1,38,0,37
Moderate,1,29,0,54
Good,1,17,0,29
Moderate,1,22,0,76
Good,1,46,0,45
Unhealthy,15,32,11,172
Good,1,35,0,21
Good,0,23,0,29
Moderate,1,37,0,58
Moderate,1,51,0,63
Good,0,21,2,28
Unhealthy for Sensitive Groups,3,16,19,109
Moderate,1,43,0,54
Unhealthy,1,32,1,154
Good,1,37,0,15
Good,1,44,1,32
Good,1,31,3,40
Unhealthy for Sensitive Groups,1,23,1,149
Good,1,26,0,37
Moderate,1,57,0,56
Good,0,20,0,15
Good,1,40,2,25
Unhealthy,2,72,1,157
Unhealthy,5,33,9,164
Unhealthy for Sensitive Groups,3,12,8,102
Good,1,42,0,23
Moderate,1,51,0,61
Good,1,43,1,48
Moderate,1,44,0,93
Good,0,37,0,31
Unhealthy for Sensitive Groups,1,38,9,125
Good,1,48,1,19
Moderate,1,52,0,62
Good,1,38,0,46
Moderate,1,46,0,64
Good,1,36,0,20
Moderate,1,26,18,82
Unhealthy,3,37,3,152
Moderate,2,22,10,72
Moderate,1,60,0,72
Good,1,36,1,50
Good,0,24,0,19
Moderate,1,85,1,14
Good,0,18,0,31
Good,0,16,0,28
Moderate,1,49,0,74
Moderate,1,29,1,72
Good,0,20,0,23
Moderate,1,49,0,66
Good,1,35,0,17
Moderate,1,40,2,52
Good,1,39,0,28
Good,1,44,0,46
Moderate,1,14,2,56
Unhealthy for Sensitive Groups,4,37,7,145
Moderate,1,65,0,48
Moderate,1,38,3,51
Good,1,48,2,40
Moderate,1,51,0,36
Unhealthy,4,24,9,181
Good,1,41,0,26
Moderate,1,33,2,65
Unhealthy,4,45,9,162
Good,1,22,1,18
Moderate,1,72,1,59
Good,1,17,0,11
Moderate,1,45,0,68
Unhealthy,1,35,2,153
Unhealthy,5,41,12,165
Unhealthy,1,29,3,151
Moderate,1,32,1,51
Unhealthy,3,34,11,172
Moderate,1,61,0,65
Good,1,38,0,46
Good,1,44,2,50
Good,1,33,1,30
Good,1,43,0,22
Good,1,36,1,6
Good,1,29,0,40
Good,0,18,0,8
Moderate,1,30,1,74
Good,0,23,0,38
Good,1,41,0,32
Unhealthy,2,23,4,154
Moderate,3,23,17,95
Good,1,23,0,50
Moderate,1,47,0,60
Good,1,20,0,21
Moderate,2,12,1,85
Good,1,39,0,20
Moderate,1,46,3,51
Good,1,23,2,43
Good,0,32,0,43
Moderate,1,45,1,51
Unhealthy,1,38,3,161
Unhealthy,6,15,9,171
Good,1,50,0,11
Good,1,30,3,49
Good,1,42,0,31
Good,1,34,0,43
Moderate,1,36,4,58
Unhealthy,3,22,9,156
Good,0,26,0,20
Good,0,23,0,17
Good,0,27,0,17
Unhealthy,1,34,2,153
Moderate,1,55,0,59
Good,1,28,2,37
Moderate,2,9,3,59
Good,0,23,0,19
Good,0,35,0,34
Good,0,18,0,34
Moderate,2,18,3,65
Unhealthy for Sensitive Groups,1,35,0,102
Unhealthy,1,35,3,190
Moderate,1,60,0,41
Moderate,1,32,3,52
Moderate,1,19,1,76
Moderate,1,39,0,95
Good,1,49,0,50
Good,1,39,0,32
Good,1,49,1,38
Moderate,2,82,1,35
Unhealthy for Sensitive Groups,2,25,6,107
Good,1,30,0,24
Good,1,44,2,46
Unhealthy for Sensitive Groups,1,36,0,103
Moderate,1,17,2,57
Good,1,47,3,42
Moderate,1,42,1,54
Good,1,21,0,47
Moderate,1,38,0,64
Moderate,1,32,5,55
Good,1,5,0,27
Moderate,3,2,6,90
Moderate,1,37,2,56
Moderate,2,4,2,69
Moderate,2,21,5,80
Good,1,35,0,26
Good,1,16,4,45
Unhealthy,6,54,18,164
Good,0,21,0,34
Moderate,1,69,0,54
Moderate,1,55,0,63
Good,1,40,3,47
Good,1,31,4,50
Moderate,1,30,2,52
Good,1,40,0,9
Good,0,19,0,26
Good,0,24,0,30
Moderate,3,36,8,91
Unhealthy for Sensitive Groups,3,20,14,116
Good,1,31,0,39
Moderate,4,2,5,97
Good,0,17,0,30
Unhealthy,3,19,9,151
Moderate,1,63,0,87
Moderate,1,67,0,43
Unhealthy,2,33,3,160
Moderate,1,20,3,89
Moderate,1,70,0,42
Good,1,18,0,38
Good,0,15,0,30
Hazardous,3,26,8,332
Good,1,46,0,34
Moderate,1,22,0,55
Moderate,1,41,0,58
Unhealthy for Sensitive Groups,1,28,1,116
Good,1,31,0,31
Unhealthy,5,126,5,172
Moderate,1,15,0,59
Unhealthy,4,175,1,157
Moderate,2,97,2,77
Moderate,1,32,0,57
Good,1,34,0,32
Good,1,33,0,31
Moderate,0,25,0,55
Unhealthy for Sensitive Groups,1,39,0,113
Moderate,0,22,0,63
Good,1,32,0,34
Unhealthy for Sensitive Groups,1,44,0,124
Moderate,2,28,11,55
Moderate,1,15,10,55
Moderate,1,20,10,52
Moderate,1,27,8,63
Moderate,1,17,3,62
Moderate,2,18,1,58
Good,1,13,1,38
Good,0,28,2,12
Moderate,1,8,3,62
Moderate,2,14,19,65
Moderate,1,40,1,58
Moderate,2,26,8,58
Moderate,1,29,6,57
Moderate,1,31,1,56
Good,1,7,1,22
Moderate,2,5,4,61
Good,1,26,3,42
Good,1,47,1,27
Unhealthy,3,119,1,157
Good,1,24,0,38
Good,1,23,0,27
Unhealthy for Sensitive Groups,2,21,3,114
Moderate,2,15,0,86
Moderate,1,31,2,53
Moderate,1,34,3,65
Moderate,1,34,1,65
Moderate,2,23,0,74
Good,1,46,2,49
Moderate,3,15,0,78
Moderate,1,26,9,53
Good,1,45,1,21
Moderate,1,24,0,51
Good,1,17,0,42
Moderate,1,46,2,56
Moderate,1,37,4,55
Unhealthy,5,5,12,159
Good,1,47,2,45
Unhealthy for Sensitive Groups,1,19,3,106
Good,1,29,5,34
Moderate,1,32,3,51
Good,1,31,4,28
Moderate,2,3,3,74
Moderate,1,87,1,66
Moderate,0,19,0,51
Good,2,37,9,48
Good,0,18,0,17
Good,1,0,2,24
Good,0,17,1,22
Good,0,12,1,21
Moderate,1,19,0,61
Moderate,0,24,0,57
Moderate,1,24,0,76
Good,1,42,1,42
Good,1,27,3,18
Good,1,31,1,20
Good,1,31,1,26
Good,1,20,4,26
Good,0,31,2,15
Good,1,17,1,25
Good,1,34,2,39
Unhealthy,2,49,6,158
Unhealthy,3,168,1,152
Moderate,0,24,0,51
Good,1,25,0,16
Unhealthy for Sensitive Groups,4,4,35,110
Moderate,1,18,0,61
Moderate,2,31,7,60
Moderate,2,23,14,73
Unhealthy for Sensitive Groups,2,26,4,137
Unhealthy for Sensitive Groups,0,36,0,112
Unhealthy,3,67,2,160
Moderate,1,11,0,52
Moderate,1,45,0,54
Good,0,19,0,16
Good,1,34,0,5
Moderate,1,43,0,60
Moderate,1,54,0,66
Moderate,1,40,0,63
Moderate,2,23,4,89
Good,1,40,2,18
Unhealthy for Sensitive Groups,3,6,23,126
Moderate,1,8,3,59
Very Unhealthy,12,2,27,214
Good,1,42,0,22
Moderate,2,32,6,77
Unhealthy for Sensitive Groups,4,46,9,137
Good,1,28,0,41
Moderate,1,13,5,67
Moderate,1,58,0,66
Unhealthy for Sensitive Groups,2,24,8,130
Moderate,2,10,3,70
Moderate,1,49,0,54
Good,1,41,0,11
Moderate,1,44,2,58
Good,1,35,0,17
Moderate,1,32,2,69
Good,1,31,0,10
Moderate,1,20,4,84
